,Symbol,Date,Price
473,AAPL,2016-06-30,96.6222727727
474,AAPL,2016-07-31,98.5564998
475,AAPL,2016-08-31,107.66521813
476,AAPL,2016-09-30,110.857142476
477,AAPL,2016-10-31,115.707143095
478,AAPL,2016-11-30,110.154285286
479,AAPL,2016-12-31,114.335714476
480,AAPL,2017-01-31,119.56999975
481,AAPL,2017-02-28,133.714209316
482,AAPL,2017-03-31,140.617826304
483,AAPL,2017-04-30,142.886841579
484,AAPL,2017-05-31,152.227726409
485,AAPL,2017-06-30,154.252495
486,ADBE,2004-01-31,19.02549985
487,ADBE,2004-02-29,19.0613155263
488,ADBE,2004-03-31,18.6958695652
489,ADBE,2004-04-30,20.9576191429
490,ADBE,2004-05-31,21.99024995
491,ADBE,2004-06-30,22.5459520952
492,ADBE,2004-07-31,21.3480952857
493,ADBE,2004-08-31,22.2306818636
494,ADBE,2004-09-30,24.1980951905
495,ADBE,2004-10-31,26.3054761905
496,ADBE,2004-11-30,29.3480950952
497,ADBE,2004-12-31,31.0011365455
498,ADBE,2005-01-31,28.9575001
499,ADBE,2005-02-28,31.3289475263
500,ADBE,2005-03-31,32.5895449545
501,ADBE,2005-04-30,31.2464287619
502,ADBE,2005-05-31,30.3240469524
503,ADBE,2005-06-30,31.1709090909
504,ADBE,2005-07-31,28.91
505,ADBE,2005-08-31,27.1095653913
506,ADBE,2005-09-30,27.9038095238
507,ADBE,2005-10-31,30.4328572857
508,ADBE,2005-11-30,32.9914285714
509,ADBE,2005-12-31,36.3609524762
510,ADBE,2006-01-31,39.02600005
511,ADBE,2006-02-28,38.7131573684
512,ADBE,2006-03-31,36.924348087
513,ADBE,2006-04-30,37.2705265263
514,ADBE,2006-05-31,32.0186361818
515,ADBE,2006-06-30,29.4177273636
516,ADBE,2006-07-31,28.3224997
517,ADBE,2006-08-31,32.4078260435
518,ADBE,2006-09-30,35.3270001
519,ADBE,2006-10-31,38.1277272273
520,ADBE,2006-11-30,40.1438094762
521,ADBE,2006-12-31,40.47250025
522,ADBE,2007-01-31,39.41899985
523,ADBE,2007-02-28,39.2205263684
524,ADBE,2007-03-31,40.3931821364
525,ADBE,2007-04-30,42.4565
526,ADBE,2007-05-31,42.1881819545
527,ADBE,2007-06-30,42.3571429048
528,ADBE,2007-07-31,41.1361904286
529,ADBE,2007-08-31,40.5191306522
530,ADBE,2007-09-30,43.234211
531,ADBE,2007-10-31,46.0217393478
532,ADBE,2007-11-30,43.288571381
533,ADBE,2007-12-31,42.96850005
534,ADBE,2008-01-31,37.3547619524
535,ADBE,2008-02-29,34.53749965
536,ADBE,2008-03-31,33.77350005
537,ADBE,2008-04-30,36.721818
538,ADBE,2008-05-31,41.2238095714
539,ADBE,2008-06-30,41.8076189524
540,ADBE,2008-07-31,40.3745456818
541,ADBE,2008-08-31,44.0700000952
542,ADBE,2008-09-30,39.9880955238
543,ADBE,2008-10-31,28.4847825217
544,ADBE,2008-11-30,23.665789
545,ADBE,2008-12-31,21.6918182727
546,ADBE,2009-01-31,21.5709998
547,ADBE,2009-02-28,19.5247368947
548,ADBE,2009-03-31,19.4877273636
549,ADBE,2009-04-30,24.476190381
550,ADBE,2009-05-31,26.5219998
551,ADBE,2009-06-30,28.9549999091
552,ADBE,2009-07-31,30.0059091364
553,ADBE,2009-08-31,32.3771422857
554,ADBE,2009-09-30,32.9161901429
555,ADBE,2009-10-31,34.1899998182
556,ADBE,2009-11-30,35.57100015
557,ADBE,2009-12-31,36.6504542727
558,ADBE,2010-01-31,35.5778945789
559,ADBE,2010-02-28,32.9905266316
560,ADBE,2010-03-31,35.2839131739
561,ADBE,2010-04-30,35.118571619
562,ADBE,2010-05-31,32.89499995
563,ADBE,2010-06-30,31.2509088182
564,ADBE,2010-07-31,27.8538096667
565,ADBE,2010-08-31,28.3286365909
566,ADBE,2010-09-30,29.7980951905
567,ADBE,2010-10-31,27.5123808571
568,ADBE,2010-11-30,28.9671429048
569,ADBE,2010-12-31,29.4622726364
570,ADBE,2011-01-31,33.06800025
571,ADBE,2011-02-28,33.8826314737
572,ADBE,2011-03-31,33.4656525217
573,ADBE,2011-04-30,33.9675002
574,ADBE,2011-05-31,34.417619619
575,ADBE,2011-06-30,31.7018179545
576,ADBE,2011-07-31,29.92349995
577,ADBE,2011-08-31,24.7252176087
578,ADBE,2011-09-30,24.9676188095
579,ADBE,2011-10-31,26.4623808571
580,ADBE,2011-11-30,27.9871430476
581,ADBE,2011-12-31,27.7219046667
582,ADBE,2012-01-31,29.79900005
583,ADBE,2012-02-29,32.451
584,ADBE,2012-03-31,33.7140908636
585,ADBE,2012-04-30,33.31050005
586,ADBE,2012-05-31,32.2390906364
587,ADBE,2012-06-30,31.4966665238
588,ADBE,2012-07-31,31.0447616667
589,ADBE,2012-08-31,32.4643476087
590,ADBE,2012-09-30,32.8226313684
591,ADBE,2012-10-31,32.8290480952
592,ADBE,2012-11-30,33.3500005238
593,ADBE,2012-12-31,36.5949999
594,ADBE,2013-01-31,38.1300002857
595,ADBE,2013-02-28,38.6515788947
596,ADBE,2013-03-31,41.7175003
597,ADBE,2013-04-30,44.5259089091
598,ADBE,2013-05-31,44.2268180455
599,ADBE,2013-06-30,44.13949975
600,ADBE,2013-07-31,47.4777270909
601,ADBE,2013-08-31,46.3513635
602,ADBE,2013-09-30,49.4739995
603,ADBE,2013-10-31,52.4008697391
604,ADBE,2013-11-30,56.02299975
605,ADBE,2013-12-31,57.6309521429
606,ADBE,2014-01-31,59.7052379524
607,ADBE,2014-02-28,65.6736841053
608,ADBE,2014-03-31,67.175713381
609,ADBE,2014-04-30,62.5952388571
610,ADBE,2014-05-31,61.9271430952
611,ADBE,2014-06-30,68.987142619
612,ADBE,2014-07-31,72.1804545455
613,ADBE,2014-08-31,70.2319056667
614,ADBE,2014-09-30,70.1576191905
615,ADBE,2014-10-31,65.9478263043
616,ADBE,2014-11-30,71.4347373158
617,ADBE,2014-12-31,73.2709083636
618,ADBE,2015-01-31,71.56149935
619,ADBE,2015-02-28,75.4315790526
620,ADBE,2015-03-31,76.6218185
621,ADBE,2015-04-30,75.6957144762
622,ADBE,2015-05-31,77.9730004
623,ADBE,2015-06-30,80.3000007727
624,ADBE,2015-07-31,81.0718177273
625,ADBE,2015-08-31,81.752381619
626,ADBE,2015-09-30,80.371904381
627,ADBE,2015-10-31,86.0059090455
628,ADBE,2015-11-30,90.8964997
629,ADBE,2015-12-31,92.7209088636
630,ADBE,2016-01-31,88.7194726842
631,ADBE,2016-02-29,81.89449955
632,ADBE,2016-03-31,89.2754544545
633,ADBE,2016-04-30,94.9328577619
634,ADBE,2016-05-31,96.4723811905
635,ADBE,2016-06-30,96.7154540455
636,ADBE,2016-07-31,97.12750015
637,ADBE,2016-08-31,100.102608348
638,ADBE,2016-09-30,103.662857095
639,ADBE,2016-10-31,108.366666143
640,ADBE,2016-11-30,105.339999714
641,ADBE,2016-12-31,103.874762095
642,ADBE,2017-01-31,109.75349995
